DISCIPLINA;ÁREA DO CONHECIMENTO;ÁREA FUNCIONAL DEFINIDA
Ética, Ciência e Profissão;Psicologia e Desenvolvimento Pessoal;Desenvolvimento Pessoal e Profissional
Ética Profissional e Compliance;Direito;Exercício Profissional e Pesquisa em Direito
Ética e Serviço Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Etica e Responsabilidade Socioambiental;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Voleibol;Saúde e Bem-Estar Social;Especialidades da Educação Física
Vigilância Epidemiológica;Saúde e Bem-Estar Social;Epidemiologia e Saúde Pública
Tópicos Especiais em Radiologia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tópicos especiais em farmácia;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Tópicos Especiais de Engenharia Elétrica;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Tópicos Especiais de Engenharia Civil;Engenharia, Produção e Construção;Engenharia Civil e Construções
Tópicos Emergentes em Psicologia III;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Tópicos Emergentes em Psicologia II;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Tópicos Emergentes em Psicologia I;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Tópicos em Sistemas de Informação;Matemática, Computação e Tecnologias de Informação e Comunicacão;Interdisciplinar com foco em Matemática, Computação e TICs
Tópicos em Saúde e Biossegurança;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Tópicos em Gestão Financeira;Administração e Negócios;Finanças, Bancos e Seguros
Tópicos Educacionais- Sexualidade e Diversidade de Gêneros;Educação;Interdisciplinar com foco em Educação
Tópicos Educacionais- História e Cultura Africana e Indígena;Educação;Interdisciplinar com foco em Educação
Tópicos de Serviço Social;Saúde e Bem-Estar Social;Serviço Social e Orientação
Tópicos de Matemática;Matemática, Computação e Tecnologias de Informação e Comunicacão;Matemática Aplicada e Computacional
Tópicos de Marketing;Administração e Negócios;Marketing
Tópicos de Logística e de Transporte;Administração e Negócios;Logística
Tópicos de Direito;Direito;Direito Administrativo
Tópicos da Radiologia;Saúde e Bem-Estar Social;Tecnologias de Diagnóstico e Tratamento Médico
Tópicos Avançados em Recursos Humanos;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Tópicos Avançados em Psicologia;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Tópicos Avançados em Marketing;Administração e Negócios;Marketing
Tópicos Avançados em Logística;Administração e Negócios;Logística
Tópicos Avançados em Gestão da TI;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Tópicos Avançados em Finanças;Administração e Negócios;Finanças, Bancos e Seguros
Tópicos Avançados em Engenharia de Manutenção;Engenharia, Produção e Construção;Interdisciplinar com foco em Engenharia, Produção e Construção
Tópicos Avançados em Enfermagem;Saúde e Bem-Estar Social;Ciências da Enfermagem
Tópicos Avançados em Educação Física;Saúde e Bem-Estar Social;Especialidades da Educação Física
Tópicos Avançados em Direito;Direito;Exercício Profissional e Pesquisa em Direito
Tópicos Avançados em Ciências Contábeis;Administração e Negócios;Contabilidade e Tributação
Tópicos Avançados em Biomedicina;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Tópicos Avançados em Arquitetura e Urbanismo;Engenharia, Produção e Construção;Arquitetura e urbanismo
Tópicos Avançados em Análise e Desenvolvimento de Sistemas;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Tópicos Avançados em Administração;Administração e Negócios;Ciências da Administração
Tópicos Avançados de Engenharia de Produção;Engenharia, Produção e Construção;Engenharia de Produção e Processos de Fabricação
Tópicos Avançados de Engenharia de Computação;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Tópicos Avançados de Administração;Administração e Negócios;Ciências da Administração
Tópicos Avançados Aplicados à Pedagogia;Educação;Ciências da Educação, Didática e Pedagogia
Tópicos aplicados à Educação Física;Saúde e Bem-Estar Social;Especialidades da Educação Física
