nome_blox,nome_curso,area_conhecimento,area_funcional,Record Count
Inovar para o sucesso!,Extensão em Negócios e Inovação,Inovação,Criatividade e Inovação,1874
O comportamento humano,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,1392
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",Extensão em Negócios e Inovação,Relacionais,Marketing e Comunicação,1242
Planejar para empreender! Plano de negócios e Modelo de negócios,Extensão em Negócios e Inovação,Estratégicas,Empreendedorismo,1009
Comportamento organizacional,Extensão em Negócios e Inovação,Relacionais,Gestão Estratégica,1008
A magia da negociação,Extensão em Negócios e Inovação,Estratégicas,Vendas,984
A Gestão de Pessoas Contemporânea,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,972
Contabilidade Para Não Contadores,Extensão em Negócios e Inovação,Técnicas,Contabilidade e Tributação,948
Como aprendemos: Teorias de Aprendizagem,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,894
O que um gestor precisa saber sobre didática,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,858
Medindo o desempenho em Gestão de Pessoas,Extensão em Negócios e Inovação,Técnicas,Gestão de Pessoas,829
Design Thinking: a busca por soluções,Extensão em Negócios e Inovação,Estratégicas,Criatividade e Inovação,750
Analisando dados estatísticos,Extensão em Negócios e Inovação,Técnicas,Gestão e Administração,714
Indicadores financeiros básicos,Extensão em Negócios e Inovação,Técnicas,Gestão Estratégica,659
Valorização profissional – Retenção de profissionais,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,649
O planejamento do ensino: preparando a aula,Extensão em Negócios e Inovação,Técnicas,Legislação Educacional,642
Fundamentos da pedagogia,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,624
Montando uma seleção excelente de profissionais,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,607
Layout industrial inteligente,Extensão em Negócios e Inovação,Técnicas,Gestão Estratégica,606
Gestão contábil e financeira,Extensão em Negócios e Inovação,Técnicas,Finanças,601
Metodologias ágeis para desenvolvimento e melhoria de softwares,Extensão em Negócios e Inovação,Técnicas,Database e Redes,588
O que você precisa saber sobre Linguagem SQL,Extensão em Negócios e Inovação,Técnicas,Database e Redes,582
Gestão estratégica da tecnologia da informação,Extensão em Negócios e Inovação,Técnicas,Gestão e Administração,554
Introdução a Administração Financeira,Extensão em Negócios e Inovação,Técnicas,Finanças,551
Práticas de Mentoring,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,540
Cidadão consciente promove o desenvolvimento,Extensão em Negócios e Inovação,Relacionais,Sustentabilidade,534
Gestão de Compras,Extensão em Negócios e Inovação,Técnicas,Gestão e Administração,528
Aprender brincando: ludicidade e pensamento pedagógico,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,516
Tipos e modelos de organizações,Extensão em Negócios e Inovação,Técnicas,Gestão e Administração,516
Conhecendo a estatística,Extensão em Negócios e Inovação,Técnicas,Gestão e Administração,516
O que é Direito Administrativo?,Extensão em Negócios e Inovação,Estratégicas,Gestão e Administração,504
Competitividade de mercado,Extensão em Negócios e Inovação,Estratégicas,Marketing e Comunicação,494
Entendendo as relações trabalhistas,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,485
